Rk;Player;Pos;Age;Tm;
504;Trendon Watford;PF;22;25;
505;Peyton Watson;SG;20;8;
506;Blake Wesley;SG;19;27;
507;Russell Westbrook;PG;34;0;
507;Russell Westbrook;PG;34;14;
507;Russell Westbrook;PG;34;13;
508;Coby White;SG;22;5;
509;Derrick White;SG;28;2;
510;Jack White;SF;25;8;
511;Joe Wieskamp;SF;23;28;
512;Aaron Wiggins;SG;24;21;
513;Andrew Wiggins;SF;27;10;
514;Lindell Wigginton;PG;24;17;
515;Alondes Williams;SG;23;3;
516;Donovan Williams;SG;21;1;
517;Grant Williams;PF;24;2;
518;Jalen Williams;SG;21;21;
519;Jaylin Williams;PF;20;21;
520;Jeenathan Williams;SG;23;25;
521;Kenrich Williams;PF;28;21;
522;Mark Williams;C;21;4;
523;Patrick Williams;PF;21;5;
524;Robert Williams;C;25;2;
525;Vince Williams Jr.;SG;22;15;
526;Ziaire Williams;SF;21;15;
527;Zion Williamson;PF;22;19;
528;Dylan Windler;SF;26;6;
529;Justise Winslow;SF;26;25;
530;James Wiseman;C;21;0;
530;James Wiseman;C;21;10;
530;James Wiseman;C;21;9;
531;Christian Wood;C;27;7;
532;Delon Wright;PG;30;30;
533;McKinley Wright IV;PG;24;7;
534;Gabe York;SG;29;12;
535;Thaddeus Young;PF;34;28;
536;Trae Young;PG;24;1;
537;Omer Yurtseven;C;24;16;
538;Cody Zeller;C;30;16;
539;Ivica Zubac;C;25;13;
