Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
59;Oshae Brissett;SF;24;12;65;2;16.srp;1.ruj;4.ruj;0.386;0.7;2.tra;0.31;1.vlj;2.svi;0.457;0.461;1.lip;2.vlj;0.717;1;2.tra;3.tra;0.7;0.5;0.2;0.5;1.vlj;6.sij
60;Malcolm Brogdon;PG;30;2;67;0;26;5.ožu;10.ruj;0.484;2;4.tra;0.444;3.ožu;6.svi;0.51;0.574;2.tra;2.srp;0.87;0.6;3.lip;4.vlj;3.srp;0.7;0.3;1.svi;1.lip;14.ruj
61;Dillon Brooks;SF;27;15;73;73;30.ožu;5.tra;13.lip;0.396;2;6;0.326;3.tra;7.lip;0.451;0.468;1.lip;2.sij;0.779;0.6;2.srp;3.ožu;2.lip;0.9;0.2;1.tra;3.ožu;14.ožu
62;Bruce Brown;SG;26;8;80;31;28.svi;4.svi;9.ožu;0.483;1.sij;3.vlj;0.358;3.ožu;6.sij;0.548;0.545;1.svi;1.ruj;0.758;0.8;3.ožu;4.sij;3.tra;1.sij;0.6;1.svi;2.tra;11.svi
63;Greg Brown III;PF;21;25;16;0;5.kol;0.7;1.kol;0.393;0.1;0.4;0.143;0.6;1.ožu;0.476;0.411;0.3;0.8;0.417;0.1;1.sij;1.vlj;0.2;0.3;0.3;0.4;0.8;1.kol
64;Jaylen Brown;SF;26;2;67;67;35.9;10.sij;20.lip;0.491;2.tra;7.ožu;0.335;7.srp;13.tra;0.576;0.55;3.ruj;5.sij;0.765;1.vlj;5.srp;6.ruj;3.svi;1.sij;0.4;2.ruj;2.lip;26.lip
65;Kendall Brown;SG;19;12;6;0;6.srp;0.7;1.vlj;0.571;0;0.2;0;0.7;1;0.667;0.571;0.2;0.3;0.5;0.3;0.7;1;0.5;0.7;0;0.3;1.svi;1.svi
66;Moses Brown;C;23;0;36;1;8.vlj;1.srp;2.srp;0.635;0;0;0;1.srp;2.srp;0.635;0.635;0.9;2;0.458;1.lip;2.ožu;3.ruj;0.1;0.1;0.4;0.4;1.sij;4.ožu
66;Moses Brown;C;23;13;34;1;8.svi;1.kol;2.kol;0.635;0;0;0;1.kol;2.kol;0.635;0.635;1;2.sij;0.458;1.srp;2.tra;4.sij;0.1;0.1;0.4;0.4;1.sij;4.lip
66;Moses Brown;C;23;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0.5;0.5;0
67;Sterling Brown;SG;27;14;4;0;6;0;1;0;0;0.5;0;0;0.5;0;0;0;0;0;0.8;1.ožu;2;0.5;0.8;0;0;1;0
68;Troy Brown Jr.;SF;23;14;76;45;24.svi;2.lip;6.sij;0.43;1.tra;3.srp;0.381;1.vlj;2.tra;0.505;0.545;0.4;0.5;0.872;0.8;3.vlj;4.sij;1.ožu;0.8;0.2;0.6;1.lip;7.sij
69;Jalen Brunson;PG;26;20;68;68;35;8.lip;17.lip;0.491;2;4.srp;0.416;6.srp;12.kol;0.519;0.547;4.kol;5.kol;0.829;0.6;3;3.svi;6.vlj;0.9;0.2;2.sij;2.vlj;24
70;Thomas Bryant;C;25;0;59;26;18.ožu;3.ruj;6.ožu;0.623;0.4;1;0.441;3.svi;5.ožu;0.658;0.659;1.lip;2.sij;0.738;1.svi;4.ožu;5.srp;0.5;0.3;0.5;0.6;1.srp;9.kol
70;Thomas Bryant;C;25;14;41;25;21.tra;4.kol;7.ožu;0.654;0.5;1.vlj;0.44;4.ožu;6.sij;0.697;0.691;2;2.lip;0.741;1.lip;5.vlj;6.kol;0.7;0.3;0.6;0.7;1.ruj;12.sij
70;Thomas Bryant;C;25;8;18;1;11.tra;1.kol;3.kol;0.485;0.2;0.5;0.444;1.lip;3.ožu;0.492;0.515;0.7;1;0.722;1.sij;2.ožu;3.ožu;0.1;0.1;0.4;0.6;1.tra;4.lip
71;Reggie Bullock;SF;31;7;78;55;30.ožu;2.svi;6;0.409;1.ruj;5.sij;0.38;0.5;0.9;0.562;0.569;0.3;0.5;0.703;0.4;3.vlj;3.lip;1.tra;0.7;0.2;0.5;2.sij;7.vlj
72;Alec Burks;SG;31;9;51;8;22;3.ruj;9;0.436;1.ruj;4.srp;0.414;2;4.ožu;0.459;0.544;3;3.srp;0.814;0.4;2.srp;3.sij;2.vlj;0.7;0.2;1.sij;1.ruj;12.kol
73;Deonte Burton;SG;29;26;2;0;3;0;1;0;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;Jared Butler;SG;22;21;6;1;12.kol;2.svi;5.ožu;0.469;1.vlj;2.ožu;0.5;1.ožu;3;0.444;0.578;0;0;0;0.2;0.5;0.7;1.ožu;0.8;0;0.8;0.8;6.vlj
75;Jimmy Butler;SF;33;16;64;64;33.4;7.svi;13.ruj;0.539;0.6;1.lip;0.35;6.ruj;12.ožu;0.564;0.56;7.tra;8.srp;0.85;2.vlj;3.srp;5.ruj;5.ožu;1.kol;0.3;1.lip;1.ožu;22.ruj
76;John Butler;C;20;25;19;1;11.lip;0.9;2.kol;0.321;0.4;1.kol;0.229;0.5;0.9;0.5;0.396;0.2;0.2;0.75;0.2;0.7;0.9;0.6;0.4;0.5;0.1;1.vlj;2.tra
77;Jamal Cain;SF;23;16;18;0;13.ožu;2.sij;3.srp;0.561;0.4;1.sij;0.35;1.srp;2.lip;0.652;0.614;0.9;1.vlj;0.773;0.8;2.sij;2.ruj;0.7;0.6;0.1;0.3;1.vlj;5.tra
78;Kentavious Caldwell-Pope;SG;29;8;76;76;31.ožu;3.kol;8.ožu;0.462;1.kol;4.vlj;0.423;2.sij;4.sij;0.502;0.569;1.tra;1.lip;0.824;0.5;2.ožu;2.srp;2.tra;1.svi;0.5;1.sij;1.ruj;10.kol
79;Facundo Campazzo;PG;31;7;8;0;6.svi;0.4;1.lip;0.231;0.4;1.tra;0.273;0;0.3;0;0.346;0.1;0.3;0.5;0;0.3;0.3;1.sij;0.8;0;0.4;0.4;1.ožu
80;Vlatko ?an?ar;PF;25;8;60;9;14.kol;1.kol;3.kol;0.476;0.7;1.ruj;0.374;1.sij;1.ruj;0.58;0.57;0.6;0.7;0.927;0.4;1.srp;2.sij;1.ožu;0.4;0.2;0.6;1.tra;5
81;Clint Capela;C;28;1;65;63;26.lip;5.tra;8.vlj;0.653;0;0;0;5.tra;8.vlj;0.654;0.653;1.vlj;2;0.603;4;7.sij;11;0.9;0.7;1.vlj;0.8;2.sij;12
82;Vernon Carey Jr.;C;21;30;11;0;2.svi;0.2;0.7;0.25;0;0;0;0.2;0.7;0.25;0.25;0.2;0.2;1;0.3;0.7;1;0.3;0.2;0.2;0.2;0.5;0.5
83;Jevon Carter;PG;27;17;81;39;22.ožu;3;7;0.423;1.kol;4.vlj;0.421;1.vlj;2.kol;0.425;0.549;0.4;0.5;0.816;0.4;2.sij;2.svi;2.tra;0.8;0.4;1;2;8
84;Wendell Carter Jr.;C;23;22;57;54;29.lip;5.lip;10.kol;0.525;1.tra;3.ruj;0.356;4.vlj;6.kol;0.624;0.591;2.svi;3.tra;0.738;2.sij;6.lip;8.srp;2.ožu;0.5;0.6;1.ruj;2.kol;15.vlj
85;Michael Carter-Williams;PG;31;22;4;0;11;1.svi;3.svi;0.429;0.3;0.8;0.333;1.ožu;2.kol;0.455;0.464;1;1.kol;0.571;0.3;1;1.ožu;1.kol;0.3;0.3;1;1.ožu;4.ožu
